ticker,name,asset_class,index_membership,sector,market_cap_bucket,status,validated,validation_error
DASH-USD,Dash,crypto,,Cryptocurrency,small,active,not_checked,
DATA-USD,Streamr,crypto,,Cryptocurrency,small,active,not_checked,
DOGE-USD,Dogecoin,crypto,WAVE_CRYPTO_BROAD_GROWTH_WAVE,Cryptocurrency,large,active,not_checked,
DOT-USD,Polkadot,crypto,"WAVE_CRYPTO_BROAD_GROWTH_WAVE,WAVE_CRYPTO_L1_GROWTH_WAVE",Cryptocurrency,large,active,not_checked,
DYDX-USD,dYdX,crypto,WAVE_CRYPTO_DEFI_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
DYM-USD,Dymension,crypto,WAVE_CRYPTO_L1_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
EGLD-USD,MultiversX,crypto,WAVE_CRYPTO_L1_GROWTH_WAVE,Cryptocurrency,mid,active,not_checked,
ENA-USD,Ethena,crypto,"WAVE_CRYPTO_DEFI_GROWTH_WAVE,WAVE_CRYPTO_INCOME_WAVE",Cryptocurrency,mid,active,not_checked,
ENJ-USD,Enjin Coin,crypto,,Cryptocurrency,small,active,not_checked,
ENS-USD,Ethereum Name Service,crypto,,Cryptocurrency,small,active,not_checked,
EOS-USD,EOS,crypto,WAVE_CRYPTO_L1_GROWTH_WAVE,Cryptocurrency,mid,active,not_checked,
ETH-USD,Ethereum,crypto,"WAVE_CRYPTO_BROAD_GROWTH_WAVE,WAVE_CRYPTO_INCOME_WAVE,WAVE_CRYPTO_L1_GROWTH_WAVE,WAVE_INFINITY_MULTI-ASSET_GROWTH_WAVE",Cryptocurrency,large,active,not_checked,
ETHFI-USD,ether.fi,crypto,WAVE_CRYPTO_INCOME_WAVE,Cryptocurrency,small,active,not_checked,
FET-USD,Fetch.ai,crypto,WAVE_CRYPTO_AI_GROWTH_WAVE,Cryptocurrency,mid,active,not_checked,
FIL-USD,Filecoin,crypto,,Cryptocurrency,mid,active,not_checked,
FLOKI-USD,Floki Inu,crypto,,Cryptocurrency,small,active,not_checked,
FLOW-USD,Flow,crypto,WAVE_CRYPTO_L1_GROWTH_WAVE,Cryptocurrency,mid,active,not_checked,
FLR-USD,Flare,crypto,WAVE_CRYPTO_L1_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
FTM-USD,Fantom,crypto,WAVE_CRYPTO_L1_GROWTH_WAVE,Cryptocurrency,mid,active,not_checked,
FXS-USD,Frax Share,crypto,WAVE_CRYPTO_DEFI_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
GALA-USD,Gala,crypto,,Cryptocurrency,mid,active,not_checked,
GLMR-USD,Moonbeam,crypto,WAVE_CRYPTO_L1_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
GMT-USD,STEPN,crypto,,Cryptocurrency,small,active,not_checked,
GMX-USD,GMX,crypto,WAVE_CRYPTO_DEFI_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
GMX1-USD,GMX V2,crypto,WAVE_CRYPTO_DEFI_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
GNO-USD,Gnosis,crypto,WAVE_CRYPTO_DEFI_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
GRT-USD,The Graph,crypto,,Cryptocurrency,mid,active,not_checked,
HBAR-USD,Hedera,crypto,,Cryptocurrency,mid,active,not_checked,
HIGH-USD,Highstreet,crypto,,Cryptocurrency,small,active,not_checked,
HNT-USD,Helium,crypto,,Cryptocurrency,mid,active,not_checked,
HOT-USD,Holo,crypto,,Cryptocurrency,small,active,not_checked,
ICP-USD,Internet Computer,crypto,WAVE_CRYPTO_AI_GROWTH_WAVE,Cryptocurrency,mid,active,not_checked,
ICX-USD,ICON,crypto,WAVE_CRYPTO_L1_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
ILV-USD,Illuvium,crypto,,Cryptocurrency,small,active,not_checked,
IMX-USD,Immutable X,crypto,WAVE_CRYPTO_L2_GROWTH_WAVE,Cryptocurrency,mid,active,not_checked,
INJ-USD,Injective,crypto,WAVE_CRYPTO_DEFI_GROWTH_WAVE,Cryptocurrency,mid,active,not_checked,
IO-USD,io.net,crypto,WAVE_CRYPTO_AI_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
IOTA-USD,IOTA,crypto,,Cryptocurrency,small,active,not_checked,
IOTX-USD,IoTeX,crypto,,Cryptocurrency,small,active,not_checked,
JASMY-USD,JasmyCoin,crypto,,Cryptocurrency,small,active,not_checked,
JTO-USD,Jito,crypto,WAVE_CRYPTO_INCOME_WAVE,Cryptocurrency,small,active,not_checked,
JUP-USD,Jupiter,crypto,WAVE_CRYPTO_DEFI_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
KAS-USD,Kaspa,crypto,WAVE_CRYPTO_L1_GROWTH_WAVE,Cryptocurrency,mid,active,not_checked,
KAVA-USD,Kava,crypto,WAVE_CRYPTO_DEFI_GROWTH_WAVE,Cryptocurrency,mid,active,not_checked,
KCS-USD,KuCoin Token,crypto,,Cryptocurrency,mid,active,not_checked,
KLAY-USD,Klaytn,crypto,WAVE_CRYPTO_L1_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
LDO-USD,Lido DAO,crypto,WAVE_CRYPTO_INCOME_WAVE,Cryptocurrency,mid,active,not_checked,
LINK-USD,Chainlink,crypto,WAVE_CRYPTO_DEFI_GROWTH_WAVE,Cryptocurrency,large,active,not_checked,
LISTA-USD,Lista DAO,crypto,WAVE_CRYPTO_INCOME_WAVE,Cryptocurrency,small,active,not_checked,
LPT-USD,Livepeer,crypto,,Cryptocurrency,small,active,not_checked,
LRC-USD,Loopring,crypto,WAVE_CRYPTO_L2_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
LSK-USD,Lisk,crypto,WAVE_CRYPTO_L1_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
LTC-USD,Litecoin,crypto,WAVE_CRYPTO_BROAD_GROWTH_WAVE,Cryptocurrency,large,active,not_checked,
LTO-USD,LTO Network,crypto,,Cryptocurrency,small,active,not_checked,
MAGIC-USD,Magic,crypto,,Cryptocurrency,small,active,not_checked,
MANA-USD,Decentraland,crypto,,Cryptocurrency,mid,active,not_checked,
MANTA-USD,Manta Network,crypto,WAVE_CRYPTO_L2_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
MATIC-USD,Polygon,crypto,WAVE_CRYPTO_L2_GROWTH_WAVE,Cryptocurrency,large,active,not_checked,
MEME-USD,Memecoin,crypto,,Cryptocurrency,small,active,not_checked,
METIS-USD,Metis,crypto,WAVE_CRYPTO_L2_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
MINA-USD,Mina Protocol,crypto,WAVE_CRYPTO_L1_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
MKR-USD,Maker,crypto,"WAVE_CRYPTO_DEFI_GROWTH_WAVE,WAVE_CRYPTO_INCOME_WAVE",Cryptocurrency,mid,active,not_checked,
MNT-USD,Mantle,crypto,WAVE_CRYPTO_L2_GROWTH_WAVE,Cryptocurrency,mid,active,not_checked,
MOVE-USD,Movement,crypto,WAVE_CRYPTO_L1_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
MOVR-USD,Moonriver,crypto,WAVE_CRYPTO_L1_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
MTL-USD,Metal,crypto,,Cryptocurrency,small,active,not_checked,
NEAR-USD,NEAR Protocol,crypto,WAVE_CRYPTO_L1_GROWTH_WAVE,Cryptocurrency,mid,active,not_checked,
NEO-USD,NEO,crypto,WAVE_CRYPTO_L1_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
NKN-USD,NKN,crypto,,Cryptocurrency,small,active,not_checked,
NMR-USD,Numeraire,crypto,WAVE_CRYPTO_AI_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
OCEAN-USD,Ocean Protocol,crypto,WAVE_CRYPTO_AI_GROWTH_WAVE,Cryptocurrency,mid,active,not_checked,
OMG-USD,OMG Network,crypto,WAVE_CRYPTO_L2_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
OMNI-USD,Omni Network,crypto,,Cryptocurrency,small,active,not_checked,
ONDO-USD,Ondo Finance,crypto,WAVE_CRYPTO_DEFI_GROWTH_WAVE,Cryptocurrency,mid,active,not_checked,
ONE-USD,Harmony,crypto,WAVE_CRYPTO_L1_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
OP-USD,Optimism,crypto,WAVE_CRYPTO_L2_GROWTH_WAVE,Cryptocurrency,mid,active,not_checked,
ORDI-USD,ORDI,crypto,,Cryptocurrency,small,active,not_checked,
PAXG-USD,PAX Gold,crypto,,Cryptocurrency,mid,active,not_checked,
PENDLE-USD,Pendle,crypto,"WAVE_CRYPTO_DEFI_GROWTH_WAVE,WAVE_CRYPTO_INCOME_WAVE",Cryptocurrency,small,active,not_checked,
PEPE-USD,Pepe,crypto,,Cryptocurrency,mid,active,not_checked,
PEPE1-USD,Pepe Unchained,crypto,,Cryptocurrency,small,active,not_checked,
POLY-USD,Polymath,crypto,,Cryptocurrency,small,active,not_checked,
POWR-USD,Power Ledger,crypto,,Cryptocurrency,small,active,not_checked,
PRCL-USD,Parcl,crypto,,Cryptocurrency,small,active,not_checked,
PYR-USD,Vulcan Forged,crypto,,Cryptocurrency,small,active,not_checked,
PYTH-USD,Pyth Network,crypto,,Cryptocurrency,mid,active,not_checked,
QNT-USD,Quant,crypto,,Cryptocurrency,mid,active,not_checked,
QTUM-USD,Qtum,crypto,WAVE_CRYPTO_L1_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
RDNT-USD,Radiant Capital,crypto,WAVE_CRYPTO_DEFI_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
REN-USD,Ren,crypto,WAVE_CRYPTO_DEFI_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
RENDER-USD,Render Token,crypto,WAVE_CRYPTO_AI_GROWTH_WAVE,Cryptocurrency,mid,active,not_checked,
REP-USD,Augur,crypto,WAVE_CRYPTO_DEFI_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
REZ-USD,Renzo,crypto,WAVE_CRYPTO_INCOME_WAVE,Cryptocurrency,small,active,not_checked,
RNDR-USD,Render,crypto,WAVE_CRYPTO_AI_GROWTH_WAVE,Cryptocurrency,mid,active,not_checked,
ROSE-USD,Oasis Network,crypto,WAVE_CRYPTO_L1_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
RPL-USD,Rocket Pool,crypto,WAVE_CRYPTO_INCOME_WAVE,Cryptocurrency,mid,active,not_checked,
RSR-USD,Reserve Rights,crypto,WAVE_CRYPTO_DEFI_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
RUNE-USD,THORChain,crypto,WAVE_CRYPTO_DEFI_GROWTH_WAVE,Cryptocurrency,mid,active,not_checked,
RVN-USD,Ravencoin,crypto,,Cryptocurrency,small,active,not_checked,
SAGA-USD,Saga,crypto,WAVE_CRYPTO_L1_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
SAND-USD,The Sandbox,crypto,,Cryptocurrency,mid,active,not_checked,
SC-USD,Siacoin,crypto,,Cryptocurrency,small,active,not_checked,
SEI-USD,Sei,crypto,WAVE_CRYPTO_L1_GROWTH_WAVE,Cryptocurrency,mid,active,not_checked,
SFP-USD,SafePal,crypto,,Cryptocurrency,small,active,not_checked,
SHIB-USD,Shiba Inu,crypto,,Cryptocurrency,large,active,not_checked,
SKL-USD,SKALE Network,crypto,WAVE_CRYPTO_L2_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
SNT-USD,Status,crypto,,Cryptocurrency,small,active,not_checked,
SNX-USD,Synthetix,crypto,WAVE_CRYPTO_DEFI_GROWTH_WAVE,Cryptocurrency,mid,active,not_checked,
SOL-USD,Solana,crypto,"WAVE_CRYPTO_BROAD_GROWTH_WAVE,WAVE_CRYPTO_L1_GROWTH_WAVE",Cryptocurrency,large,active,not_checked,
SPELL-USD,Spell Token,crypto,WAVE_CRYPTO_DEFI_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
SSV-USD,SSV Network,crypto,WAVE_CRYPTO_INCOME_WAVE,Cryptocurrency,small,active,not_checked,
STG-USD,Stargate Finance,crypto,WAVE_CRYPTO_DEFI_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
STMX-USD,StormX,crypto,,Cryptocurrency,small,active,not_checked,
STORJ-USD,Storj,crypto,,Cryptocurrency,small,active,not_checked,
STRK-USD,Starknet,crypto,WAVE_CRYPTO_L2_GROWTH_WAVE,Cryptocurrency,mid,active,not_checked,
STX-USD,Stacks,crypto,WAVE_CRYPTO_L2_GROWTH_WAVE,Cryptocurrency,mid,active,not_checked,
SUI-USD,Sui,crypto,WAVE_CRYPTO_L1_GROWTH_WAVE,Cryptocurrency,mid,active,not_checked,
SUSHI-USD,SushiSwap,crypto,WAVE_CRYPTO_DEFI_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
SXP-USD,Solar,crypto,WAVE_CRYPTO_DEFI_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
SYS-USD,Syscoin,crypto,WAVE_CRYPTO_L1_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
TAO-USD,Bittensor,crypto,WAVE_CRYPTO_AI_GROWTH_WAVE,Cryptocurrency,mid,active,not_checked,
THETA-USD,Theta Network,crypto,,Cryptocurrency,mid,active,not_checked,
TIA-USD,Celestia,crypto,WAVE_CRYPTO_L1_GROWTH_WAVE,Cryptocurrency,mid,active,not_checked,
TON-USD,Toncoin,crypto,WAVE_CRYPTO_L1_GROWTH_WAVE,Cryptocurrency,large,active,not_checked,
TRB-USD,Tellor,crypto,,Cryptocurrency,small,active,not_checked,
TRIBE-USD,Tribe,crypto,WAVE_CRYPTO_DEFI_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
TRX-USD,TRON,crypto,WAVE_CRYPTO_L1_GROWTH_WAVE,Cryptocurrency,large,active,not_checked,
UMA-USD,UMA,crypto,WAVE_CRYPTO_DEFI_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
UNI-USD,Uniswap,crypto,"WAVE_CRYPTO_DEFI_GROWTH_WAVE,WAVE_CRYPTO_INCOME_WAVE",Cryptocurrency,large,active,not_checked,
USUAL-USD,Usual,crypto,WAVE_CRYPTO_DEFI_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
VET-USD,VeChain,crypto,,Cryptocurrency,mid,active,not_checked,
W-USD,Wormhole,crypto,,Cryptocurrency,mid,active,not_checked,
WAVES-USD,Waves,crypto,WAVE_CRYPTO_L1_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
WIF-USD,dogwifhat,crypto,,Cryptocurrency,small,active,not_checked,
WLD-USD,Worldcoin,crypto,WAVE_CRYPTO_AI_GROWTH_WAVE,Cryptocurrency,mid,active,not_checked,
WOO-USD,WOO Network,crypto,WAVE_CRYPTO_DEFI_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
WRX-USD,WazirX,crypto,,Cryptocurrency,small,active,not_checked,
XEC-USD,eCash,crypto,,Cryptocurrency,small,active,not_checked,
XLM-USD,Stellar,crypto,WAVE_CRYPTO_BROAD_GROWTH_WAVE,Cryptocurrency,mid,active,not_checked,
XMR-USD,Monero,crypto,,Cryptocurrency,mid,active,not_checked,
XRP-USD,Ripple,crypto,WAVE_CRYPTO_BROAD_GROWTH_WAVE,Cryptocurrency,large,active,not_checked,
XTZ-USD,Tezos,crypto,WAVE_CRYPTO_L1_GROWTH_WAVE,Cryptocurrency,mid,active,not_checked,
XVS-USD,Venus,crypto,WAVE_CRYPTO_DEFI_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
YFI-USD,yearn.finance,crypto,"WAVE_CRYPTO_DEFI_GROWTH_WAVE,WAVE_CRYPTO_INCOME_WAVE",Cryptocurrency,small,active,not_checked,
ZEC-USD,Zcash,crypto,,Cryptocurrency,mid,active,not_checked,
ZEN-USD,Horizen,crypto,,Cryptocurrency,small,active,not_checked,
ZETA-USD,ZetaChain,crypto,WAVE_CRYPTO_L1_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
ZIL-USD,Zilliqa,crypto,WAVE_CRYPTO_L1_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
ZK-USD,zkSync,crypto,WAVE_CRYPTO_L2_GROWTH_WAVE,Cryptocurrency,mid,active,not_checked,
ZRX-USD,0x Protocol,crypto,WAVE_CRYPTO_DEFI_GROWTH_WAVE,Cryptocurrency,small,active,not_checked,
cbETH-USD,Coinbase Wrapped Staked ETH,crypto,WAVE_CRYPTO_INCOME_WAVE,Cryptocurrency,mid,active,not_checked,
frxETH-USD,Frax Ether,crypto,WAVE_CRYPTO_INCOME_WAVE,Cryptocurrency,mid,active,not_checked,
rETH-USD,Rocket Pool ETH,crypto,WAVE_CRYPTO_INCOME_WAVE,Cryptocurrency,mid,active,not_checked,
sfrxETH-USD,Staked Frax Ether,crypto,WAVE_CRYPTO_INCOME_WAVE,Cryptocurrency,small,active,not_checked,
stETH-USD,Lido Staked Ether,crypto,WAVE_CRYPTO_INCOME_WAVE,Cryptocurrency,large,active,not_checked,
swETH-USD,Swell Ethereum,crypto,WAVE_CRYPTO_INCOME_WAVE,Cryptocurrency,small,active,not_checked,
AAPL,,equity,WAVE_US_MEGACAP_CORE_WAVE,Equity,,active,not_checked,
ADBE,,equity,"WAVE_AI_&_CLOUD_MEGACAP_WAVE,WAVE_NEXT-GEN_COMPUTE_&_SEMIS_WAVE",Equity,,active,not_checked,
AMD,,equity,"WAVE_AI_&_CLOUD_MEGACAP_WAVE,WAVE_QUANTUM_COMPUTING_WAVE",Equity,,active,not_checked,
AMZN,,equity,"WAVE_NEXT-GEN_COMPUTE_&_SEMIS_WAVE,WAVE_US_MEGACAP_CORE_WAVE",Equity,,active,not_checked,
AVGO,,equity,WAVE_AI_&_CLOUD_MEGACAP_WAVE,Equity,,active,not_checked,
BE,,equity,WAVE_FUTURE_POWER_&_ENERGY_WAVE,Equity,,active,not_checked,
BP,,equity,WAVE_FUTURE_ENERGY_&_EV_WAVE,Equity,,active,not_checked,
BRK-B,,equity,"WAVE_DEMAS_FUND_WAVE,WAVE_US_MEGACAP_CORE_WAVE",Equity,,active,not_checked,
CAT,,equity,"WAVE_CLEAN_TRANSIT-INFRASTRUCTURE_WAVE,WAVE_EV_&_INFRASTRUCTURE_WAVE",Equity,,active,not_checked,
CHPT,,equity,WAVE_CLEAN_TRANSIT-INFRASTRUCTURE_WAVE,Equity,,active,not_checked,
CRM,,equity,WAVE_AI_&_CLOUD_MEGACAP_WAVE,Equity,,active,not_checked,
CVX,,equity,"WAVE_DEMAS_FUND_WAVE,WAVE_FUTURE_ENERGY_&_EV_WAVE",Equity,,active,not_checked,
DDOG,,equity,WAVE_US_SMALL-CAP_DISRUPTORS_WAVE,Equity,,active,not_checked,
ENPH,,equity,"WAVE_FUTURE_ENERGY_&_EV_WAVE,WAVE_FUTURE_POWER_&_ENERGY_WAVE",Equity,,active,not_checked,
F,,equity,"WAVE_CLEAN_TRANSIT-INFRASTRUCTURE_WAVE,WAVE_EV_&_INFRASTRUCTURE_WAVE",Equity,,active,not_checked,
FSLR,,equity,"WAVE_FUTURE_ENERGY_&_EV_WAVE,WAVE_FUTURE_POWER_&_ENERGY_WAVE",Equity,,active,not_checked,
GM,,equity,"WAVE_CLEAN_TRANSIT-INFRASTRUCTURE_WAVE,WAVE_EV_&_INFRASTRUCTURE_WAVE",Equity,,active,not_checked,
GOOGL,,equity,"WAVE_AI_&_CLOUD_MEGACAP_WAVE,WAVE_NEXT-GEN_COMPUTE_&_SEMIS_WAVE,WAVE_QUANTUM_COMPUTING_WAVE,WAVE_US_MEGACAP_CORE_WAVE",Equity,,active,not_checked,
IBM,,equity,"WAVE_NEXT-GEN_COMPUTE_&_SEMIS_WAVE,WAVE_QUANTUM_COMPUTING_WAVE",Equity,,active,not_checked,
INTC,,equity,"WAVE_AI_&_CLOUD_MEGACAP_WAVE,WAVE_NEXT-GEN_COMPUTE_&_SEMIS_WAVE",Equity,,active,not_checked,
IONQ,,equity,WAVE_QUANTUM_COMPUTING_WAVE,Equity,,active,not_checked,
JNJ,,equity,WAVE_DEMAS_FUND_WAVE,Equity,,active,not_checked,
JPM,,equity,"WAVE_DEMAS_FUND_WAVE,WAVE_US_MEGACAP_CORE_WAVE",Equity,,active,not_checked,
KO,,equity,WAVE_DEMAS_FUND_WAVE,Equity,,active,not_checked,
LCID,,equity,WAVE_CLEAN_TRANSIT-INFRASTRUCTURE_WAVE,Equity,,active,not_checked,
META,,equity,"WAVE_AI_&_CLOUD_MEGACAP_WAVE,WAVE_US_MEGACAP_CORE_WAVE",Equity,,active,not_checked,
MLM,,equity,WAVE_EV_&_INFRASTRUCTURE_WAVE,Equity,,active,not_checked,
MSFT,,equity,"WAVE_AI_&_CLOUD_MEGACAP_WAVE,WAVE_NEXT-GEN_COMPUTE_&_SEMIS_WAVE,WAVE_QUANTUM_COMPUTING_WAVE,WAVE_US_MEGACAP_CORE_WAVE",Equity,,active,not_checked,
NEE,,equity,"WAVE_FUTURE_ENERGY_&_EV_WAVE,WAVE_FUTURE_POWER_&_ENERGY_WAVE",Equity,,active,not_checked,
NET,,equity,WAVE_US_SMALL-CAP_DISRUPTORS_WAVE,Equity,,active,not_checked,
NIO,,equity,WAVE_EV_&_INFRASTRUCTURE_WAVE,Equity,,active,not_checked,
NVDA,,equity,"WAVE_AI_&_CLOUD_MEGACAP_WAVE,WAVE_NEXT-GEN_COMPUTE_&_SEMIS_WAVE,WAVE_QUANTUM_COMPUTING_WAVE,WAVE_US_MEGACAP_CORE_WAVE",Equity,,active,not_checked,
ORCL,,equity,WAVE_AI_&_CLOUD_MEGACAP_WAVE,Equity,,active,not_checked,
PG,,equity,WAVE_DEMAS_FUND_WAVE,Equity,,active,not_checked,
PLUG,,equity,"WAVE_FUTURE_ENERGY_&_EV_WAVE,WAVE_FUTURE_POWER_&_ENERGY_WAVE",Equity,,active,not_checked,
